,emoji,date,count
0,😂,2020-03-20,165
1,🙏,2020-03-20,220
2,👍,2020-03-20,95
3,🤔,2020-03-20,75
4,👏,2020-03-20,163
5,❤️,2020-03-20,160
6,😷,2020-03-20,92
7,👇,2020-03-20,70
8,🤣,2020-03-20,82
9,🙄,2020-03-20,45
10,😂,2020-03-27,145
11,🙏,2020-03-27,195
12,👍,2020-03-27,109
13,🤔,2020-03-27,89
14,👏,2020-03-27,136
15,❤️,2020-03-27,125
16,😷,2020-03-27,70
17,👇,2020-03-27,57
18,🤣,2020-03-27,68
19,🙄,2020-03-27,35
20,😂,2020-04-03,110
21,🙏,2020-04-03,184
22,👍,2020-04-03,131
23,🤔,2020-04-03,66
24,👏,2020-04-03,141
25,❤️,2020-04-03,122
26,😷,2020-04-03,47
27,👇,2020-04-03,50
28,🤣,2020-04-03,41
29,🙄,2020-04-03,33
30,😂,2020-04-10,107
31,🙏,2020-04-10,150
32,👍,2020-04-10,98
33,🤔,2020-04-10,71
34,👏,2020-04-10,128
35,❤️,2020-04-10,80
36,😷,2020-04-10,20
37,👇,2020-04-10,61
38,🤣,2020-04-10,37
39,🙄,2020-04-10,48
40,😂,2020-04-17,97
41,🙏,2020-04-17,111
42,👍,2020-04-17,78
43,🤔,2020-04-17,69
44,👏,2020-04-17,114
45,❤️,2020-04-17,85
46,😷,2020-04-17,25
47,👇,2020-04-17,54
48,🤣,2020-04-17,29
49,🙄,2020-04-17,34
50,😂,2020-04-24,94
51,🙏,2020-04-24,117
52,👍,2020-04-24,66
53,🤔,2020-04-24,64
54,👏,2020-04-24,83
55,❤️,2020-04-24,69
56,😷,2020-04-24,25
57,👇,2020-04-24,42
58,🤣,2020-04-24,41
59,🙄,2020-04-24,34
60,😂,2020-05-01,61
61,🙏,2020-05-01,86
62,👍,2020-05-01,67
63,🤔,2020-05-01,60
64,👏,2020-05-01,84
65,❤️,2020-05-01,56
66,😷,2020-05-01,26
67,👇,2020-05-01,50
68,🤣,2020-05-01,29
69,🙄,2020-05-01,38
70,😂,2020-05-08,87
71,🙏,2020-05-08,72
72,👍,2020-05-08,75
