,country,volume,cases,deaths,index,nn-score_avg,textblob-score_avg,vader-score_avg,native-score_avg
0,England,1164,102,628,0,0.21505586616027791,0.10142368507651377,0.0660467322882557,0.4258732339314907
1,Scotland,326,14,56,0,0.2027947179210537,0.08499388222489333,0.04468043924625538,0.3242095314700927
2,Northern Ireland,47,0,9,0,-0.09444444444444446,-0.013172421135962833,-0.050315050505050495,0.12222222222222223
3,Wales,122,0,21,0,0.1832769423558897,0.12067191938461319,0.05066605733082704,0.30474310776942354
4,England,1397,117,873,0,0.24654791545052301,0.09763328026947858,0.0983989916103874,0.3601218420520433
5,Scotland,320,6,51,0,0.17905017921146957,0.07823466959085958,0.13947553904249868,0.30292626728110605
6,Northern Ireland,77,0,22,0,0.6262884686688913,0.05063911598806272,0.1098197694969719,0.4485106908911136
7,Wales,161,0,89,0,0.2630869813246862,0.06895166393044024,0.09173891847564997,0.24845748513781302
8,England,1283,154,535,0,0.26741091592527905,0.07558221252087104,0.14125253998896922,0.4297501239172521
9,Scotland,324,5,43,0,0.17772198665018643,0.05246864911950369,0.04338876709814637,0.275235028585705
10,Northern Ireland,47,0,20,0,0.16586151368760063,0.04053535193782775,0.21871135265700484,0.30595813204508854
11,Wales,124,0,67,0,0.5153769841269841,0.11772423255486203,0.20587011408730158,0.5669642857142857
12,England,1273,173,793,0,0.2588157587646646,0.08544371130291818,0.08969717708932715,0.3728074014295404
13,Scotland,301,4,83,0,0.2965237425145259,0.1036514258675383,0.08856717263624339,0.193725716663133
14,Northern Ireland,43,0,20,0,0.013888888888888886,0.043454861111111104,0.1941340277777778,0.2222222222222222
15,Wales,149,0,71,0,0.30282817957236563,0.08604992602706094,0.1440170350256978,0.5055690433597411
16,England,1285,219,1258,0,0.28842142505671214,0.08272745227884407,0.11076661495375024,0.43063720910549375
17,Scotland,302,7,85,0,0.23825179608174135,0.07124021399737658,0.10584177902228169,0.1470410483520468
18,Northern Ireland,54,0,24,0,-0.09414414414414417,0.058652545402545386,0.1486485810810811,0.47312312312312316
19,Wales,128,0,60,0,0.18171052631578943,0.10917455523277887,0.16827382326555018,0.4101614832535885
20,England,1090,278,1130,0,0.21384904297282387,0.09645866163433513,0.1184907623624237,0.4859862187526195
21,Scotland,295,11,135,0,0.23362050857353758,0.061287534524392055,-0.016669690681106103,0.026335646335926756
22,Northern Ireland,26,0,37,0,0.3958333333333333,0.08249309188111267,0.2316097222222222,0.4930555555555555
23,Wales,106,0,150,0,0.29364230540701125,0.06910915018364243,0.07136195187165768,0.2954545454545454
24,England,1288,336,1809,0,0.38433254570718434,0.1086079033382143,0.1372382764162601,0.4015074178878706
25,Scotland,287,12,175,0,0.1852233554524148,0.06618612756204142,0.012063462137317524,0.2610460245456179
26,Northern Ireland,41,0,32,0,0.6011904761904762,0.22020240910617891,0.37889930555555557,0.9583333333333334
27,Wales,131,0,113,0,0.32583014048531284,0.0875718896268935,0.11005116538952742,0.5038314176245211
28,England,1157,374,2506,0,0.2798348989002774,0.09599078625916961,0.09473050194011741,0.3910538027212653
29,Scotland,299,11,165,0,0.43644479141632836,0.09763165955233438,0.09497863326466385,0.3404642125040607
30,Northern Ireland,43,0,34,0,0.3595238095238095,0.16512813509242077,0.33494223809523804,0.5466666666666667
31,Wales,114,0,180,0,0.17767457860337119,0.043624001100774544,0.01740339840614606,0.1381292282995069
32,England,1202,384,2139,0,0.29235321943004633,0.08347456046310299,0.11225571218263185,0.4263252524680967
33,Scotland,238,29,186,0,0.34362072492731205,0.08529716227876302,0.0053005092891506445,0.090723632561529
34,Northern Ireland,34,0,49,0,-0.03561253561253562,0.08030774782113027,0.10464152421652421,0.2977207977207977
35,Wales,119,0,172,0,0.2003517316017316,0.03369325938000613,-0.003073430735930749,0.3553841991341991
36,England,1182,466,2060,0,0.18134210279973503,0.09598755837561414,0.10426209627889288,0.34748409624951926
37,Scotland,248,20,139,0,0.1819525993719542,0.05242897432695098,-0.00404762735293381,0.21322082934986158
38,Northern Ireland,33,0,86,0,-0.10331384015594541,0.013619280076242782,0.10317095516569201,0.17446393762183235
39,Wales,115,0,148,0,0.1642483660130719,0.11402632438584995,-0.02932591176470593,0.2773202614379085
40,England,1191,541,2107,0,0.22610449279328107,0.11642580324950819,0.10339313797139359,0.37193901220035935
41,Scotland,273,30,179,0,0.20777150176482767,0.05391725479640935,0.12670550864427071,0.11076377198669941
42,Northern Ireland,41,0,123,0,0.16991341991341993,0.14206244695134707,0.03772905844155842,0.24783549783549785
43,Wales,134,0,210,0,0.05637233921132223,0.09069053057362389,0.061235394909547436,0.11298008331906637
44,England,1197,602,2414,0,0.22609243422474254,0.08523375628408253,0.060447547405336116,0.3393524967602384
45,Scotland,242,38,430,0,0.2444743262330399,0.08084246691295366,0.07513370246140334,0.3551325974645659
46,Northern Ireland,38,0,53,0,0.31190476190476185,0.18462651171579744,0.18771499999999997,0.2333333333333333
47,Wales,120,0,112,0,0.12702677224736048,0.1009238418965747,0.049121167986425324,0.5096153846153846
48,England,1185,699,3630,0,0.2559971849340114,0.1327517979758471,0.10493613820582794,0.4263798029654186
49,Scotland,249,46,317,0,-0.0005453696630167239,0.06111594503478642,-0.004208407543858214,0.03880571779053752
50,Northern Ireland,29,0,103,0,0.3235294117647059,0.10284712201378865,0.0019209150326797108,0.04901960784313725
51,Wales,111,0,274,0,0.15811403508771932,0.12014759500748395,0.14363171052631576,0.40263157894736845
52,England,889,732,3583,0,0.21701907776783266,0.08024040291240987,0.10171726667402535,0.3457985225297295
53,Scotland,221,36,292,0,0.4351716025909574,0.08991068448897181,0.22754237733771604,0.4567251028541351
54,Northern Ireland,33,0,85,0,0.5641025641025641,0.08524515993265991,0.0883852564102564,0.4358974358974359
55,Wales,81,0,284,0,-0.057486263736263754,0.07824035003624843,0.05820302197802199,0.275206043956044
56,England,1058,743,3576,0,0.23907869434274556,0.09665021422599242,0.10180549493667447,0.34242742637726775
57,Scotland,235,58,399,0,0.020932563371587755,0.006056967897614401,-0.09579310694576866,0.15296859273255808
58,Northern Ireland,30,0,130,0,0.11976911976911975,0.08275781391528143,0.014076046176046185,0.34704184704184704
59,Wales,112,0,345,0,0.526081051716645,0.07161700550365328,0.18695881491742716,0.4916395045632334
