,emoji,date,count,colour
0,😂,2020-03-20,236,"rgb(149, 4, 130)"
1,❤️,2020-03-20,84,"rgb(110, 85, 18)"
2,🤣,2020-03-20,103,"rgb(224, 42, 127)"
3,👍,2020-03-20,74,"rgb(123, 196, 143)"
4,🙏,2020-03-20,76,"rgb(150, 22, 68)"
5,😊,2020-03-20,34,"rgb(236, 154, 218)"
6,👏,2020-03-20,30,"rgb(162, 53, 41)"
7,🤔,2020-03-20,52,"rgb(108, 220, 231)"
8,🙄,2020-03-20,51,"rgb(14, 75, 214)"
9,😍,2020-03-20,26,"rgb(163, 16, 230)"
10,😂,2020-03-27,312,"rgb(149, 4, 130)"
11,❤️,2020-03-27,106,"rgb(110, 85, 18)"
12,🤣,2020-03-27,146,"rgb(224, 42, 127)"
13,👍,2020-03-27,97,"rgb(123, 196, 143)"
14,🙏,2020-03-27,65,"rgb(150, 22, 68)"
15,😊,2020-03-27,45,"rgb(236, 154, 218)"
16,👏,2020-03-27,66,"rgb(162, 53, 41)"
17,🤔,2020-03-27,54,"rgb(108, 220, 231)"
18,🙄,2020-03-27,48,"rgb(14, 75, 214)"
19,😍,2020-03-27,42,"rgb(163, 16, 230)"
20,😂,2020-04-03,325,"rgb(149, 4, 130)"
21,❤️,2020-04-03,103,"rgb(110, 85, 18)"
22,🤣,2020-04-03,131,"rgb(224, 42, 127)"
23,👍,2020-04-03,118,"rgb(123, 196, 143)"
24,🙏,2020-04-03,64,"rgb(150, 22, 68)"
25,😊,2020-04-03,53,"rgb(236, 154, 218)"
26,👏,2020-04-03,67,"rgb(162, 53, 41)"
27,🤔,2020-04-03,57,"rgb(108, 220, 231)"
28,🙄,2020-04-03,51,"rgb(14, 75, 214)"
29,😍,2020-04-03,59,"rgb(163, 16, 230)"
30,😂,2020-04-10,307,"rgb(149, 4, 130)"
31,❤️,2020-04-10,120,"rgb(110, 85, 18)"
32,🤣,2020-04-10,117,"rgb(224, 42, 127)"
33,👍,2020-04-10,144,"rgb(123, 196, 143)"
34,🙏,2020-04-10,68,"rgb(150, 22, 68)"
35,😊,2020-04-10,51,"rgb(236, 154, 218)"
36,👏,2020-04-10,72,"rgb(162, 53, 41)"
37,🤔,2020-04-10,65,"rgb(108, 220, 231)"
38,🙄,2020-04-10,49,"rgb(14, 75, 214)"
39,😍,2020-04-10,75,"rgb(163, 16, 230)"
40,😂,2020-04-17,344,"rgb(149, 4, 130)"
41,❤️,2020-04-17,132,"rgb(110, 85, 18)"
42,🤣,2020-04-17,145,"rgb(224, 42, 127)"
43,👍,2020-04-17,147,"rgb(123, 196, 143)"
44,🙏,2020-04-17,64,"rgb(150, 22, 68)"
45,😊,2020-04-17,77,"rgb(236, 154, 218)"
46,👏,2020-04-17,65,"rgb(162, 53, 41)"
47,🤔,2020-04-17,61,"rgb(108, 220, 231)"
48,🙄,2020-04-17,38,"rgb(14, 75, 214)"
49,😍,2020-04-17,58,"rgb(163, 16, 230)"
50,😂,2020-04-24,275,"rgb(149, 4, 130)"
51,❤️,2020-04-24,121,"rgb(110, 85, 18)"
52,🤣,2020-04-24,101,"rgb(224, 42, 127)"
53,👍,2020-04-24,128,"rgb(123, 196, 143)"
54,🙏,2020-04-24,63,"rgb(150, 22, 68)"
55,😊,2020-04-24,73,"rgb(236, 154, 218)"
56,👏,2020-04-24,58,"rgb(162, 53, 41)"
57,🤔,2020-04-24,62,"rgb(108, 220, 231)"
58,🙄,2020-04-24,39,"rgb(14, 75, 214)"
59,😍,2020-04-24,46,"rgb(163, 16, 230)"
60,😂,2020-05-01,314,"rgb(149, 4, 130)"
61,❤️,2020-05-01,130,"rgb(110, 85, 18)"
62,🤣,2020-05-01,119,"rgb(224, 42, 127)"
63,👍,2020-05-01,127,"rgb(123, 196, 143)"
64,🙏,2020-05-01,71,"rgb(150, 22, 68)"
65,😊,2020-05-01,77,"rgb(236, 154, 218)"
66,👏,2020-05-01,74,"rgb(162, 53, 41)"
67,🤔,2020-05-01,71,"rgb(108, 220, 231)"
68,🙄,2020-05-01,54,"rgb(14, 75, 214)"
69,😍,2020-05-01,61,"rgb(163, 16, 230)"
70,😂,2020-05-08,276,"rgb(149, 4, 130)"
71,❤️,2020-05-08,117,"rgb(110, 85, 18)"
72,🤣,2020-05-08,106,"rgb(224, 42, 127)"
73,👍,2020-05-08,120,"rgb(123, 196, 143)"
74,🙏,2020-05-08,71,"rgb(150, 22, 68)"
75,😊,2020-05-08,67,"rgb(236, 154, 218)"
76,👏,2020-05-08,85,"rgb(162, 53, 41)"
77,🤔,2020-05-08,69,"rgb(108, 220, 231)"
78,🙄,2020-05-08,69,"rgb(14, 75, 214)"
79,😍,2020-05-08,62,"rgb(163, 16, 230)"
80,😂,2020-05-15,279,"rgb(149, 4, 130)"
81,❤️,2020-05-15,111,"rgb(110, 85, 18)"
82,🤣,2020-05-15,110,"rgb(224, 42, 127)"
83,👍,2020-05-15,113,"rgb(123, 196, 143)"
84,🙏,2020-05-15,70,"rgb(150, 22, 68)"
85,😊,2020-05-15,80,"rgb(236, 154, 218)"
86,👏,2020-05-15,63,"rgb(162, 53, 41)"
87,🤔,2020-05-15,59,"rgb(108, 220, 231)"
88,🙄,2020-05-15,39,"rgb(14, 75, 214)"
89,😍,2020-05-15,65,"rgb(163, 16, 230)"
90,😂,2020-05-22,240,"rgb(149, 4, 130)"
91,❤️,2020-05-22,98,"rgb(110, 85, 18)"
92,🤣,2020-05-22,111,"rgb(224, 42, 127)"
93,👍,2020-05-22,115,"rgb(123, 196, 143)"
94,🙏,2020-05-22,47,"rgb(150, 22, 68)"
95,😊,2020-05-22,57,"rgb(236, 154, 218)"
96,👏,2020-05-22,55,"rgb(162, 53, 41)"
97,🤔,2020-05-22,72,"rgb(108, 220, 231)"
98,🙄,2020-05-22,47,"rgb(14, 75, 214)"
99,😍,2020-05-22,73,"rgb(163, 16, 230)"
100,😂,2020-05-29,157,"rgb(149, 4, 130)"
101,❤️,2020-05-29,79,"rgb(110, 85, 18)"
102,🤣,2020-05-29,90,"rgb(224, 42, 127)"
103,👍,2020-05-29,102,"rgb(123, 196, 143)"
104,🙏,2020-05-29,44,"rgb(150, 22, 68)"
105,😊,2020-05-29,65,"rgb(236, 154, 218)"
106,👏,2020-05-29,46,"rgb(162, 53, 41)"
107,🤔,2020-05-29,64,"rgb(108, 220, 231)"
108,🙄,2020-05-29,31,"rgb(14, 75, 214)"
109,😍,2020-05-29,33,"rgb(163, 16, 230)"
110,😂,2020-06-05,188,"rgb(149, 4, 130)"
111,❤️,2020-06-05,76,"rgb(110, 85, 18)"
112,🤣,2020-06-05,72,"rgb(224, 42, 127)"
113,👍,2020-06-05,98,"rgb(123, 196, 143)"
114,🙏,2020-06-05,47,"rgb(150, 22, 68)"
115,😊,2020-06-05,54,"rgb(236, 154, 218)"
116,👏,2020-06-05,52,"rgb(162, 53, 41)"
117,🤔,2020-06-05,41,"rgb(108, 220, 231)"
118,🙄,2020-06-05,32,"rgb(14, 75, 214)"
119,😍,2020-06-05,37,"rgb(163, 16, 230)"
120,😂,2020-06-12,189,"rgb(149, 4, 130)"
121,❤️,2020-06-12,86,"rgb(110, 85, 18)"
122,🤣,2020-06-12,65,"rgb(224, 42, 127)"
123,👍,2020-06-12,74,"rgb(123, 196, 143)"
124,🙏,2020-06-12,50,"rgb(150, 22, 68)"
125,😊,2020-06-12,46,"rgb(236, 154, 218)"
126,👏,2020-06-12,54,"rgb(162, 53, 41)"
127,🤔,2020-06-12,40,"rgb(108, 220, 231)"
128,🙄,2020-06-12,24,"rgb(14, 75, 214)"
129,😍,2020-06-12,36,"rgb(163, 16, 230)"
130,😂,2020-06-19,180,"rgb(149, 4, 130)"
131,❤️,2020-06-19,79,"rgb(110, 85, 18)"
132,🤣,2020-06-19,75,"rgb(224, 42, 127)"
133,👍,2020-06-19,70,"rgb(123, 196, 143)"
134,🙏,2020-06-19,34,"rgb(150, 22, 68)"
135,😊,2020-06-19,53,"rgb(236, 154, 218)"
136,👏,2020-06-19,52,"rgb(162, 53, 41)"
137,🤔,2020-06-19,36,"rgb(108, 220, 231)"
138,🙄,2020-06-19,24,"rgb(14, 75, 214)"
139,😍,2020-06-19,36,"rgb(163, 16, 230)"
140,😂,2020-06-26,151,"rgb(149, 4, 130)"
141,❤️,2020-06-26,92,"rgb(110, 85, 18)"
142,🤣,2020-06-26,63,"rgb(224, 42, 127)"
143,👍,2020-06-26,72,"rgb(123, 196, 143)"
144,🙏,2020-06-26,40,"rgb(150, 22, 68)"
145,😊,2020-06-26,45,"rgb(236, 154, 218)"
146,👏,2020-06-26,54,"rgb(162, 53, 41)"
147,🤔,2020-06-26,35,"rgb(108, 220, 231)"
148,🙄,2020-06-26,28,"rgb(14, 75, 214)"
149,😍,2020-06-26,34,"rgb(163, 16, 230)"
150,😂,2020-07-03,139,"rgb(149, 4, 130)"
151,❤️,2020-07-03,68,"rgb(110, 85, 18)"
152,🤣,2020-07-03,54,"rgb(224, 42, 127)"
153,👍,2020-07-03,60,"rgb(123, 196, 143)"
154,🙏,2020-07-03,53,"rgb(150, 22, 68)"
155,😊,2020-07-03,47,"rgb(236, 154, 218)"
156,👏,2020-07-03,51,"rgb(162, 53, 41)"
157,🤔,2020-07-03,22,"rgb(108, 220, 231)"
158,🙄,2020-07-03,16,"rgb(14, 75, 214)"
159,😍,2020-07-03,37,"rgb(163, 16, 230)"
160,😂,2020-07-10,116,"rgb(149, 4, 130)"
161,❤️,2020-07-10,66,"rgb(110, 85, 18)"
162,🤣,2020-07-10,48,"rgb(224, 42, 127)"
163,👍,2020-07-10,41,"rgb(123, 196, 143)"
164,🙏,2020-07-10,34,"rgb(150, 22, 68)"
165,😊,2020-07-10,41,"rgb(236, 154, 218)"
166,👏,2020-07-10,36,"rgb(162, 53, 41)"
167,🤔,2020-07-10,27,"rgb(108, 220, 231)"
168,🙄,2020-07-10,19,"rgb(14, 75, 214)"
169,😍,2020-07-10,34,"rgb(163, 16, 230)"
170,😂,2020-07-17,81,"rgb(149, 4, 130)"
171,❤️,2020-07-17,58,"rgb(110, 85, 18)"
172,🤣,2020-07-17,45,"rgb(224, 42, 127)"
173,👍,2020-07-17,53,"rgb(123, 196, 143)"
174,🙏,2020-07-17,37,"rgb(150, 22, 68)"
175,😊,2020-07-17,27,"rgb(236, 154, 218)"
176,👏,2020-07-17,39,"rgb(162, 53, 41)"
177,🤔,2020-07-17,21,"rgb(108, 220, 231)"
178,🙄,2020-07-17,10,"rgb(14, 75, 214)"
179,😍,2020-07-17,26,"rgb(163, 16, 230)"
180,😂,2020-07-24,91,"rgb(149, 4, 130)"
181,❤️,2020-07-24,30,"rgb(110, 85, 18)"
182,🤣,2020-07-24,31,"rgb(224, 42, 127)"
183,👍,2020-07-24,39,"rgb(123, 196, 143)"
184,🙏,2020-07-24,23,"rgb(150, 22, 68)"
185,😊,2020-07-24,19,"rgb(236, 154, 218)"
186,👏,2020-07-24,22,"rgb(162, 53, 41)"
187,🤔,2020-07-24,17,"rgb(108, 220, 231)"
188,🙄,2020-07-24,10,"rgb(14, 75, 214)"
189,😍,2020-07-24,26,"rgb(163, 16, 230)"
190,😂,2020-07-31,67,"rgb(149, 4, 130)"
191,❤️,2020-07-31,38,"rgb(110, 85, 18)"
192,🤣,2020-07-31,35,"rgb(224, 42, 127)"
193,👍,2020-07-31,48,"rgb(123, 196, 143)"
194,🙏,2020-07-31,37,"rgb(150, 22, 68)"
195,😊,2020-07-31,26,"rgb(236, 154, 218)"
196,👏,2020-07-31,30,"rgb(162, 53, 41)"
197,🤔,2020-07-31,19,"rgb(108, 220, 231)"
198,🙄,2020-07-31,23,"rgb(14, 75, 214)"
199,😍,2020-07-31,26,"rgb(163, 16, 230)"
200,😂,2020-08-07,78,"rgb(149, 4, 130)"
201,❤️,2020-08-07,41,"rgb(110, 85, 18)"
202,🤣,2020-08-07,40,"rgb(224, 42, 127)"
203,👍,2020-08-07,42,"rgb(123, 196, 143)"
204,🙏,2020-08-07,17,"rgb(150, 22, 68)"
205,😊,2020-08-07,20,"rgb(236, 154, 218)"
206,👏,2020-08-07,23,"rgb(162, 53, 41)"
207,🤔,2020-08-07,16,"rgb(108, 220, 231)"
208,🙄,2020-08-07,18,"rgb(14, 75, 214)"
209,😍,2020-08-07,20,"rgb(163, 16, 230)"
210,😂,2020-08-14,65,"rgb(149, 4, 130)"
211,❤️,2020-08-14,47,"rgb(110, 85, 18)"
212,🤣,2020-08-14,30,"rgb(224, 42, 127)"
213,👍,2020-08-14,25,"rgb(123, 196, 143)"
214,🙏,2020-08-14,21,"rgb(150, 22, 68)"
215,😊,2020-08-14,28,"rgb(236, 154, 218)"
216,👏,2020-08-14,24,"rgb(162, 53, 41)"
217,🤔,2020-08-14,15,"rgb(108, 220, 231)"
218,🙄,2020-08-14,20,"rgb(14, 75, 214)"
219,😍,2020-08-14,19,"rgb(163, 16, 230)"
220,😂,2020-08-21,45,"rgb(149, 4, 130)"
221,❤️,2020-08-21,22,"rgb(110, 85, 18)"
222,🤣,2020-08-21,35,"rgb(224, 42, 127)"
223,👍,2020-08-21,38,"rgb(123, 196, 143)"
224,🙏,2020-08-21,32,"rgb(150, 22, 68)"
225,😊,2020-08-21,28,"rgb(236, 154, 218)"
226,👏,2020-08-21,24,"rgb(162, 53, 41)"
227,🤔,2020-08-21,11,"rgb(108, 220, 231)"
228,🙄,2020-08-21,15,"rgb(14, 75, 214)"
229,😍,2020-08-21,15,"rgb(163, 16, 230)"
230,😂,2020-08-28,45,"rgb(149, 4, 130)"
231,❤️,2020-08-28,30,"rgb(110, 85, 18)"
232,🤣,2020-08-28,23,"rgb(224, 42, 127)"
233,👍,2020-08-28,37,"rgb(123, 196, 143)"
234,🙏,2020-08-28,22,"rgb(150, 22, 68)"
235,😊,2020-08-28,24,"rgb(236, 154, 218)"
236,👏,2020-08-28,19,"rgb(162, 53, 41)"
237,🤔,2020-08-28,11,"rgb(108, 220, 231)"
238,🙄,2020-08-28,10,"rgb(14, 75, 214)"
239,😍,2020-08-28,7,"rgb(163, 16, 230)"
240,😂,2020-09-04,63,"rgb(149, 4, 130)"
241,❤️,2020-09-04,27,"rgb(110, 85, 18)"
242,🤣,2020-09-04,33,"rgb(224, 42, 127)"
243,👍,2020-09-04,31,"rgb(123, 196, 143)"
244,🙏,2020-09-04,26,"rgb(150, 22, 68)"
245,😊,2020-09-04,23,"rgb(236, 154, 218)"
246,👏,2020-09-04,15,"rgb(162, 53, 41)"
247,🤔,2020-09-04,23,"rgb(108, 220, 231)"
248,🙄,2020-09-04,19,"rgb(14, 75, 214)"
249,😍,2020-09-04,17,"rgb(163, 16, 230)"
250,😂,2020-09-11,80,"rgb(149, 4, 130)"
251,❤️,2020-09-11,26,"rgb(110, 85, 18)"
252,🤣,2020-09-11,29,"rgb(224, 42, 127)"
253,👍,2020-09-11,35,"rgb(123, 196, 143)"
254,🙏,2020-09-11,24,"rgb(150, 22, 68)"
255,😊,2020-09-11,23,"rgb(236, 154, 218)"
256,👏,2020-09-11,16,"rgb(162, 53, 41)"
257,🤔,2020-09-11,18,"rgb(108, 220, 231)"
258,🙄,2020-09-11,20,"rgb(14, 75, 214)"
259,😍,2020-09-11,10,"rgb(163, 16, 230)"
260,😂,2020-09-18,82,"rgb(149, 4, 130)"
261,❤️,2020-09-18,29,"rgb(110, 85, 18)"
262,🤣,2020-09-18,33,"rgb(224, 42, 127)"
263,👍,2020-09-18,37,"rgb(123, 196, 143)"
264,🙏,2020-09-18,20,"rgb(150, 22, 68)"
265,😊,2020-09-18,27,"rgb(236, 154, 218)"
266,👏,2020-09-18,13,"rgb(162, 53, 41)"
267,🤔,2020-09-18,36,"rgb(108, 220, 231)"
268,🙄,2020-09-18,44,"rgb(14, 75, 214)"
269,😍,2020-09-18,18,"rgb(163, 16, 230)"
270,😂,2020-09-25,83,"rgb(149, 4, 130)"
271,❤️,2020-09-25,44,"rgb(110, 85, 18)"
272,🤣,2020-09-25,36,"rgb(224, 42, 127)"
273,👍,2020-09-25,53,"rgb(123, 196, 143)"
274,🙏,2020-09-25,32,"rgb(150, 22, 68)"
275,😊,2020-09-25,35,"rgb(236, 154, 218)"
276,👏,2020-09-25,31,"rgb(162, 53, 41)"
277,🤔,2020-09-25,33,"rgb(108, 220, 231)"
278,🙄,2020-09-25,29,"rgb(14, 75, 214)"
279,😍,2020-09-25,13,"rgb(163, 16, 230)"
280,😂,2020-10-02,42,"rgb(149, 4, 130)"
281,❤️,2020-10-02,22,"rgb(110, 85, 18)"
282,🤣,2020-10-02,17,"rgb(224, 42, 127)"
283,👍,2020-10-02,28,"rgb(123, 196, 143)"
284,🙏,2020-10-02,6,"rgb(150, 22, 68)"
285,😊,2020-10-02,17,"rgb(236, 154, 218)"
286,👏,2020-10-02,19,"rgb(162, 53, 41)"
287,🤔,2020-10-02,16,"rgb(108, 220, 231)"
288,🙄,2020-10-02,11,"rgb(14, 75, 214)"
289,😍,2020-10-02,9,"rgb(163, 16, 230)"
290,😂,2020-10-09,52,"rgb(149, 4, 130)"
291,❤️,2020-10-09,20,"rgb(110, 85, 18)"
292,🤣,2020-10-09,34,"rgb(224, 42, 127)"
293,👍,2020-10-09,26,"rgb(123, 196, 143)"
294,🙏,2020-10-09,17,"rgb(150, 22, 68)"
295,😊,2020-10-09,14,"rgb(236, 154, 218)"
296,👏,2020-10-09,18,"rgb(162, 53, 41)"
297,🤔,2020-10-09,28,"rgb(108, 220, 231)"
298,🙄,2020-10-09,30,"rgb(14, 75, 214)"
299,😍,2020-10-09,17,"rgb(163, 16, 230)"
300,😂,2020-10-16,56,"rgb(149, 4, 130)"
301,❤️,2020-10-16,25,"rgb(110, 85, 18)"
302,🤣,2020-10-16,36,"rgb(224, 42, 127)"
303,👍,2020-10-16,29,"rgb(123, 196, 143)"
304,🙏,2020-10-16,22,"rgb(150, 22, 68)"
305,😊,2020-10-16,10,"rgb(236, 154, 218)"
306,👏,2020-10-16,20,"rgb(162, 53, 41)"
307,🤔,2020-10-16,24,"rgb(108, 220, 231)"
308,🙄,2020-10-16,25,"rgb(14, 75, 214)"
309,😍,2020-10-16,24,"rgb(163, 16, 230)"
310,😂,2020-10-23,71,"rgb(149, 4, 130)"
311,❤️,2020-10-23,29,"rgb(110, 85, 18)"
312,🤣,2020-10-23,23,"rgb(224, 42, 127)"
313,👍,2020-10-23,22,"rgb(123, 196, 143)"
314,🙏,2020-10-23,18,"rgb(150, 22, 68)"
315,😊,2020-10-23,17,"rgb(236, 154, 218)"
316,👏,2020-10-23,22,"rgb(162, 53, 41)"
317,🤔,2020-10-23,23,"rgb(108, 220, 231)"
318,🙄,2020-10-23,17,"rgb(14, 75, 214)"
319,😍,2020-10-23,16,"rgb(163, 16, 230)"
320,😂,2020-10-30,169,"rgb(149, 4, 130)"
321,❤️,2020-10-30,97,"rgb(110, 85, 18)"
322,🤣,2020-10-30,91,"rgb(224, 42, 127)"
323,👍,2020-10-30,117,"rgb(123, 196, 143)"
324,🙏,2020-10-30,63,"rgb(150, 22, 68)"
325,😊,2020-10-30,56,"rgb(236, 154, 218)"
326,👏,2020-10-30,32,"rgb(162, 53, 41)"
327,🤔,2020-10-30,63,"rgb(108, 220, 231)"
328,🙄,2020-10-30,71,"rgb(14, 75, 214)"
329,😍,2020-10-30,41,"rgb(163, 16, 230)"
330,😂,2020-11-06,125,"rgb(149, 4, 130)"
331,❤️,2020-11-06,99,"rgb(110, 85, 18)"
332,🤣,2020-11-06,75,"rgb(224, 42, 127)"
333,👍,2020-11-06,72,"rgb(123, 196, 143)"
334,🙏,2020-11-06,116,"rgb(150, 22, 68)"
335,😊,2020-11-06,39,"rgb(236, 154, 218)"
336,👏,2020-11-06,36,"rgb(162, 53, 41)"
337,🤔,2020-11-06,43,"rgb(108, 220, 231)"
338,🙄,2020-11-06,37,"rgb(14, 75, 214)"
339,😍,2020-11-06,49,"rgb(163, 16, 230)"
340,😂,2020-11-13,116,"rgb(149, 4, 130)"
341,❤️,2020-11-13,73,"rgb(110, 85, 18)"
342,🤣,2020-11-13,45,"rgb(224, 42, 127)"
343,👍,2020-11-13,57,"rgb(123, 196, 143)"
344,🙏,2020-11-13,41,"rgb(150, 22, 68)"
345,😊,2020-11-13,42,"rgb(236, 154, 218)"
346,👏,2020-11-13,33,"rgb(162, 53, 41)"
347,🤔,2020-11-13,28,"rgb(108, 220, 231)"
348,🙄,2020-11-13,25,"rgb(14, 75, 214)"
349,😍,2020-11-13,23,"rgb(163, 16, 230)"
350,😂,2020-11-20,110,"rgb(149, 4, 130)"
351,❤️,2020-11-20,57,"rgb(110, 85, 18)"
352,🤣,2020-11-20,55,"rgb(224, 42, 127)"
353,👍,2020-11-20,39,"rgb(123, 196, 143)"
354,🙏,2020-11-20,29,"rgb(150, 22, 68)"
355,😊,2020-11-20,26,"rgb(236, 154, 218)"
356,👏,2020-11-20,31,"rgb(162, 53, 41)"
357,🤔,2020-11-20,29,"rgb(108, 220, 231)"
358,🙄,2020-11-20,31,"rgb(14, 75, 214)"
359,😍,2020-11-20,33,"rgb(163, 16, 230)"
360,😂,2020-11-27,91,"rgb(149, 4, 130)"
361,❤️,2020-11-27,54,"rgb(110, 85, 18)"
362,🤣,2020-11-27,33,"rgb(224, 42, 127)"
363,👍,2020-11-27,40,"rgb(123, 196, 143)"
364,🙏,2020-11-27,27,"rgb(150, 22, 68)"
365,😊,2020-11-27,22,"rgb(236, 154, 218)"
366,👏,2020-11-27,30,"rgb(162, 53, 41)"
367,🤔,2020-11-27,19,"rgb(108, 220, 231)"
368,🙄,2020-11-27,19,"rgb(14, 75, 214)"
369,😍,2020-11-27,25,"rgb(163, 16, 230)"
370,😂,2020-12-04,43,"rgb(149, 4, 130)"
371,❤️,2020-12-04,18,"rgb(110, 85, 18)"
372,🤣,2020-12-04,21,"rgb(224, 42, 127)"
373,👍,2020-12-04,13,"rgb(123, 196, 143)"
374,🙏,2020-12-04,10,"rgb(150, 22, 68)"
375,😊,2020-12-04,11,"rgb(236, 154, 218)"
